method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
S2-linear,2,5000,573094.2869298413,114.61885738596825,114.61885738596825,,0,0.0,0.015426158905029297,0.4592,0.5408,200,0.04519950416524283
S2-lasso,2,5000,135.4022949707269,0.02708045899414538,0.02708045899414538,,0,0.0,0.01526498794555664,0.7646,0.2354,200,0.045202667490557805
S2-knn,2,5000,79.45444908718115,0.015890889817436228,0.015890889817436228,,0,0.0,0.015343904495239258,0.7636,0.2364,200,0.04494258989303332
random,3,5000,35062.57123460376,7.012514246920753,7.012514246920753,,0,0.0,0.022104978561401367,0.4904,0.5096,200,0.04337750741873452
treat_all,3,5000,10647142.43141778,2129.428486283556,1845.3754256461218,,1164,0.2328,0.013911008834838867,0.0,1.0,200,0.04687417834476838
F,3,5000,360.5566042996253,0.07211132085992505,0.07211132085992505,,0,0.0,0.015423059463500977,0.5382,0.4618,200,0.04392541735135207
S2-linear,3,5000,403715.91666158783,80.74318333231757,80.74318333231757,,0,0.0,0.015280723571777344,0.456,0.544,200,0.04519950416524283
S2-lasso,3,5000,3.351653766820408,0.0006703307533640815,0.0006703307533640815,,0,0.0,0.015273094177246094,0.7574,0.2426,200,0.045202667490557805
S2-knn,3,5000,3.351653766820408,0.0006703307533640815,0.0006703307533640815,,0,0.0,0.015227794647216797,0.7372,0.2628,200,0.04494258989303332
random,4,5000,7906.3803740259245,1.5812760748051848,1.5812760748051848,,0,0.0,0.02203202247619629,0.4988,0.5012,200,0.04337750741873452
treat_all,4,5000,10693641.198083345,2138.728239616669,1825.8924519960478,,1228,0.2456,0.013841867446899414,0.0,1.0,200,0.04687417834476838
F,4,5000,1.374827626586459,0.0002749655253172918,0.0002749655253172918,,0,0.0,0.015253067016601562,0.5412,0.4588,200,0.04392541735135207
S2-linear,4,5000,565513.6503551672,113.10273007103345,113.10273007103345,,0,0.0,0.01515817642211914,0.4474,0.5526,200,0.04519950416524283
S2-lasso,4,5000,0.0,0.0,0.0,,0,0.0,0.015166282653808594,0.758,0.242,200,0.045202667490557805
S2-knn,4,5000,0.0,0.0,0.0,,0,0.0,0.015115022659301758,0.751,0.249,200,0.04494258989303332
random,5,5000,9630.436500480233,1.9260873000960466,1.9260873000960466,,0,0.0,0.022011280059814453,0.4978,0.5022,200,0.04337750741873452
treat_all,5,5000,10432807.88009182,2086.561576018364,1777.2892787374176,,1199,0.2398,0.013818979263305664,0.0,1.0,200,0.04687417834476838
F,5,5000,0.0,0.0,0.0,,0,0.0,0.015183210372924805,0.5392,0.4608,200,0.04392541735135207
S2-linear,5,5000,326419.59322667687,65.28391864533538,65.28391864533538,,0,0.0,0.015089988708496094,0.4518,0.5482,200,0.04519950416524283
S2-lasso,5,5000,177.0553047726261,0.03541106095452522,0.03541106095452522,,0,0.0,0.01504206657409668,0.7582,0.2418,200,0.045202667490557805
S2-knn,5,5000,10.640721983749572,0.0021281443967499144,0.0021281443967499144,,0,0.0,0.015011072158813477,0.7576,0.2424,200,0.04494258989303332
random,6,5000,10020.33823943477,2.004067647886954,2.004067647886954,,0,0.0,0.02264404296875,0.502,0.498,200,0.04337750741873452
treat_all,6,5000,10732678.350417584,2146.535670083517,1866.2327028010166,,1086,0.2172,0.014619112014770508,0.0,1.0,200,0.04687417834476838
F,6,5000,2.028285632769517,0.00040565712655390345,0.00040565712655390345,,0,0.0,0.01575303077697754,0.542,0.458,200,0.04392541735135207
S2-linear,6,5000,339604.29314476205,67.92085862895242,67.92085862895242,,0,0.0,0.015511035919189453,0.4632,0.5368,200,0.04519950416524283
S2-lasso,6,5000,3.527960686135227,0.0007055921372270454,0.0007055921372270454,,0,0.0,0.015775203704833984,0.7586,0.2414,200,0.045202667490557805
S2-knn,6,5000,14.107105381729241,0.0028214210763458482,0.0028214210763458482,,0,0.0,0.0158078670501709,0.748,0.252,200,0.04494258989303332
random,7,5000,142694.21216897175,28.53884243379435,28.53884243379435,,0,0.0,0.022548913955688477,0.4952,0.5048,200,0.04337750741873452
treat_all,7,5000,11141284.627039354,2228.2569254078708,1866.819665428606,,1391,0.2782,0.014344930648803711,0.0,1.0,200,0.04687417834476838
F,7,5000,4.230279579911567,0.0008460559159823134,0.0008460559159823134,,0,0.0,0.015413045883178711,0.546,0.454,200,0.04392541735135207
S2-linear,7,5000,829787.0500822825,165.9574100164565,165.9574100164565,,0,0.0,0.015094995498657227,0.4478,0.5522,200,0.04519950416524283
S2-lasso,7,5000,9.707763906043319,0.0019415527812086638,0.0019415527812086638,,0,0.0,0.015231847763061523,0.7616,0.2384,200,0.045202667490557805
S2-knn,7,5000,5.923501567452163,0.0011847003134904327,0.0011847003134904327,,0,0.0,0.015372037887573242,0.7556,0.2444,200,0.04494258989303332
random,8,5000,47435.843649022834,9.487168729804567,9.487168729804567,,0,0.0,0.022144079208374023,0.5012,0.4988,200,0.04337750741873452
treat_all,8,5000,11111386.47705729,2222.277295411458,1915.7310349963607,,1268,0.2536,0.013895034790039062,0.0,1.0,200,0.04687417834476838
F,8,5000,82.55900717709102,0.016511801435418205,0.016511801435418205,,0,0.0,0.015451192855834961,0.5394,0.4606,200,0.04392541735135207
S2-linear,8,5000,885802.5926432408,177.16051852864817,177.16051852864817,,0,0.0,0.0153350830078125,0.4506,0.5494,200,0.04519950416524283
S2-lasso,8,5000,1.8789706139300544,0.0003757941227860109,0.0003757941227860109,,0,0.0,0.01566004753112793,0.759,0.241,200,0.045202667490557805
S2-knn,8,5000,1.8789706139300544,0.0003757941227860109,0.0003757941227860109,,0,0.0,0.015556097030639648,0.7508,0.2492,200,0.04494258989303332
random,9,5000,3625.786746453152,0.7251573492906304,0.7251573492906304,,0,0.0,0.022353172302246094,0.5012,0.4988,200,0.04337750741873452
treat_all,9,5000,10792290.742281483,2158.458148456297,1867.6278783204182,,1173,0.2346,0.014074087142944336,0.0,1.0,200,0.04687417834476838
F,9,5000,2329.5150674723873,0.46590301349447744,0.46590301349447744,,0,0.0,0.015501022338867188,0.5356,0.4644,200,0.04392541735135207
S2-linear,9,5000,582034.2040215802,116.40684080431603,116.40684080431603,,0,0.0,0.015352964401245117,0.4514,0.5486,200,0.04519950416524283
S2-lasso,9,5000,0.0,0.0,0.0,,0,0.0,0.01603221893310547,0.758,0.242,200,0.045202667490557805
